name,count,count_2012,names
Anna,862712,1184761.0,Anna
Patricia,1569721,848546.0,Patricia
Emma,552192,847156.0,Emma
Barbara,1432233,834364.0,Barbara
Linda,1449893,677784.0,Linda
Laura,789545,675711.0,Laura
Jessica,1036811,630675.0,Jessica
Martha,546414,620614.0,Martha
Virginia,645462,591086.0,Virginia
Amanda,779643,564560.0,Amanda
Rebecca,738467,558989.0,Rebecca
Julia,438756,527896.0,Julia
Melissa,746339,502936.0,Melissa
Lisa,963192,502661.0,Lisa
Donna,829915,487896.0,Donna
Clara,262620,483040.0,Clara
Maria,528995,475366.0,Maria
Angela,655885,474226.0,Angela
Sandra,871713,471558.0,Sandra
Edna,293727,467693.0,Edna
Cynthia,705874,444979.0,Cynthia
Bertha,207442,443941.0,Bertha
Victoria,449088,429367.0,Victoria
Samantha,543729,420418.0,Samantha
Sara,412970,417775.0,Sara
Ella,255852,412302.0,Ella
Theresa,402231,400951.0,Theresa
Ida,185317,397088.0,Ida
Eva,244386,388800.0,Eva
Olivia,338273,366831.0,Olivia
Christina,471000,365565.0,Christina
Brenda,604982,336669.0,Brenda
Andrea,418219,328546.0,Andrea
Gloria,408390,328023.0,Gloria
Teresa,411202,325625.0,Teresa
Pamela,593257,317251.0,Pamela
Norma,276922,306069.0,Norma
Sophia,247675,305835.0,Sophia
Diana,351633,300898.0,Diana
Sylvia,235927,296099.0,Sylvia
Rosa,171293,293386.0,Rosa
Thelma,225083,288991.0,Thelma
Alma,156789,285639.0,Alma
Rita,282039,283858.0,Rita
Cora,116120,277697.0,Cora
Lena,131534,276999.0,Lena
Isabella,240301,276872.0,Isabella
Stella,146639,271532.0,Stella
Wanda,280859,264719.0,Wanda
Debra,550067,262460.0,Debra
Georgia,144155,257003.0,Georgia
Lydia,146435,256921.0,Lydia
Veronica,212962,255287.0,Veronica
Juanita,206639,255013.0,Juanita
Viola,130149,253386.0,Viola
Nora,119490,246364.0,Nora
Loretta,173837,244836.0,Loretta
Anita,212995,242086.0,Anita
Paula,276430,239163.0,Paula
Dora,104774,236052.0,Dora
Monica,245107,235330.0,Monica
Vera,133949,232802.0,Vera
Amelia,130117,231224.0,Amelia
Tina,290692,230885.0,Tina
Ada,89963,227548.0,Ada
Kayla,322861,222071.0,Kayla
Regina,174508,220346.0,Regina
Lula,83820,219686.0,Lula
Nina,120498,216133.0,Nina
Alyssa,288289,214620.0,Alyssa
Leona,106077,214366.0,Leona
Roberta,170777,214204.0,Roberta
Alicia,220127,212857.0,Alicia
Ava,171149,205958.0,Ava
Vanessa,243563,199598.0,Vanessa
Wilma,139570,193546.0,Wilma
Sheila,237242,190050.0,Sheila
Alexandra,216071,186424.0,Alexandra
Lola,79984,185186.0,Lola
Della,66420,185150.0,Della
Hilda,80394,184664.0,Hilda
Flora,67010,183784.0,Flora
Dana,189825,182671.0,Dana
Claudia,124356,182250.0,Claudia
Brianna,233666,179622.0,Brianna
Erica,227876,174484.0,Erica
Priscilla,115629,171765.0,Priscilla
Velma,86555,168086.0,Velma
Geneva,86699,166045.0,Geneva
Angelina,107880,163406.0,Angelina
Cecilia,86518,160115.0,Cecilia
Alberta,70242,159625.0,Alberta
Verna,68607,159441.0,Verna
Irma,72944,156393.0,Irma
Marcia,132796,152162.0,Marcia
Cassandra,164319,151829.0,Cassandra
Henrietta,50396,151408.0,Henrietta
Tara,172418,149473.0,Tara
Olga,61114,148156.0,Olga
Rhonda,207815,146731.0,Rhonda
Joanna,97134,145297.0,Joanna
Etta,39906,144073.0,Etta
Gina,151514,143146.0,Gina
Carla,146783,143008.0,Carla
Melinda,134270,142256.0,Melinda
Celia,52234,138316.0,Celia
Eula,47037,137900.0,Eula
Deanna,132536,137855.0,Deanna
Lela,41419,137192.0,Lela
Mia,146953,136410.0,Mia
Ora,38800,135216.0,Ora
Yolanda,111804,131813.0,Yolanda
Iva,36979,131359.0,Iva
Erma,54650,131226.0,Erma
Cecelia,53257,130790.0,Cecelia
Lila,56969,129195.0,Lila
Estella,37499,129189.0,Estella
Myra,57246,128415.0,Myra
Kristina,133724,128288.0,Kristina
Sabrina,131334,128281.0,Sabrina
Eliza,42570,128254.0,Eliza
Marcella,62749,124587.0,Marcella
Tamara,129501,124394.0,Tamara
Jenna,138790,121550.0,Jenna
Erika,121653,121203.0,Erika
Lora,51504,120183.0,Lora
Ana,92953,118854.0,Ana
Freda,42332,118387.0,Freda
Felicia,90431,117790.0,Felicia
Chelsea,154022,116466.0,Chelsea
Johanna,48054,116410.0,Johanna
Rena,38121,116095.0,Rena
Tanya,115827,115570.0,Tanya
Glenda,108884,114563.0,Glenda
Matilda,28757,114433.0,Matilda
Ina,33409,113940.0,Ina
Delia,35166,111907.0,Delia
Katrina,99381,111281.0,Katrina
Ola,29467,110815.0,Ola
Alta,28552,110012.0,Alta
Miranda,104438,108884.0,Miranda
Tonya,120173,108682.0,Tonya
Marissa,116152,107384.0,Marissa
Ramona,66786,107180.0,Ramona
Leila,38037,106439.0,Leila
Lorena,42528,106220.0,Lorena
Luella,29309,105249.0,Luella
Elva,31117,105207.0,Elva
Lenora,33811,102333.0,Lenora
Kara,95249,101676.0,Kara
Marsha,103939,99023.0,Marsha
Elena,59028,98059.0,Elena
Frieda,25020,97650.0,Frieda
Alexa,99688,97579.0,Alexa
Sofia,80430,97347.0,Sofia
Lucinda,36610,97017.0,Lucinda
Kendra,89052,96964.0,Kendra
Karla,85265,96642.0,Karla
Angelica,85828,96460.0,Angelica
Helena,31917,95805.0,Helena
Mona,44460,94895.0,Mona
Dorothea,33659,94686.0,Dorothea
Natasha,93199,94014.0,Natasha
Reba,35174,93973.0,Reba
Leola,27848,93752.0,Leola
Selma,25843,93611.0,Selma
Rhoda,25388,93101.0,Rhoda
Eugenia,29291,91867.0,Eugenia
Gabriella,90031,91077.0,Gabriella
Alexandria,90011,90425.0,Alexandria
Sonia,63748,90110.0,Sonia
Adriana,79232,89138.0,Adriana
Augusta,15995,89110.0,Augusta
Cornelia,21566,88997.0,Cornelia
Valeria,55222,88086.0,Valeria
Rosetta,27563,87400.0,Rosetta
Elvira,26340,86699.0,Elvira
Lynda,77552,85519.0,Lynda
Elma,21327,84066.0,Elma
Briana,88938,83107.0,Briana
Sierra,91771,82741.0,Sierra
Antonia,31232,82461.0,Antonia
Krista,72710,82226.0,Krista
Margarita,38685,81095.0,Margarita
Elnora,21094,81093.0,Elnora
Makayla,89249,80529.0,Makayla
Sonya,64131,79771.0,Sonya
